key,notes,xx,en,rb
,"red text == unfinished, do not localise yet!",,don't use double quotes or ill feed you to the frogs!,
Frogs,"Each frog has an entry in the book. Initially you only see the name, and the 'hint' - which is giving the player a clue of what traits they should try and get to make that species. Species names are usually just something based on the trait representation they have. Once discovered the frog will show the 2 lore sentances (which a paragraph break inbetween), as well as the 'likes'. 'likes' are a list of 3 things each frog has - they're mostly just for fun and are using the frogs main trait extremes to come up with funny little things that frog would 'like'. They dont have any lore implications. The 'b_name/c_name' are variants, these are frogs that are slightly modified versions of the original species that are not different enough to become a different species, i.e. a common green (4444444) with slightly more amplitude (5444444) becomes a common 'b' variant (greater green). These are shown in the book as icons to discover along with a hint of what to do to get that variant. the variant name is shown in the tooltip of variant frogs too. The 'key' is a 2char combination rendered on any slot with a frog inside to help identify between frogs without just color/pattern/shape. This has to be latin characters as custom font, so for JP/CN maybe just copy the english ones",,,
frog1_name,,xx,Common Green,Ribbit
frog1_hint,naturally found in waking world,xx,"Found in droves all across the waking world, you can't miss them!",Ribbit
frog1_lore1,,xx,"The most hardy and resilient of all frogs, able to adapt to any environment with ease.",Ribbit
frog1_lore2,,xx,They are the base breeding stock for any research - the cornerstone of all species that exist today.,Ribbit
frog1_likes,,,"Being average, looking strangely familiar, getting everywhere",Ribbit
frog1_key,this is 2 chars to represent this frog species shown in each slot - note for CN/JP will have to be english chars ,xx,cg,Ribbit
frog1b_name,+A and +O and +R,,Greater Green,Ribbit
frog1b_var,"more amp, podour and ribbit",,"A larger, stinkier, and louder variant.",Ribbit
frog1c_name,+N and +O,,Pungent Green,Ribbit
frog1c_var,more nobility and odour,,A smellier and more regal variant.,Ribbit
frog2_name,max. size,xx,Vast Mudlurker,Ribbit
frog2_hint,take common green and make amplitude max.,xx,"As its name implies, increase the size of your common frogs to their limit.",Ribbit
frog2_lore1,,xx,"This hefty species towers over its siblings, not moving too far from its habitats.",Ribbit
frog2_lore2,,xx,Their bulk makes for a useful counterweight in engineering projects.,Ribbit
frog2_likes,,,"Unlimited buffets, second breakfast, double helpings",Ribbit
frog2_key,,xx,vm,Ribbit
frog2b_name,-N,,Poor Mudlurker,Ribbit
frog2b_var,less nobility,,A less well off variant.,Ribbit
frog2c_name,+N and +O,,Royal Mudlurker,Ribbit
frog2c_var,,,A pungent variant fit for a king.,Ribbit
frog3_name,max odour and nobility,xx,Long-Legged Dazzler,Ribbit
frog3_hint,take common green and make odour max and nobility min,xx,"From base stock, increase class and malodour to an absolute maximum.",Ribbit
frog3_lore1,,xx,"A show-off of a species, always looking down on others and acting like its toots do not smell.",Ribbit
frog3_lore2,,xx,"As many frogs can attest to, this is unfortunately not the case.",Ribbit
frog3_likes,,,"Fancy clothes, broadway shows, the ol’ razzle dazzle",Ribbit
frog3_key,,xx,ld,Ribbit
frog3b_name,+A,,Longer-Legged Dazzler,Ribbit
frog3b_var,more amplitude,,A much taller variant.,Ribbit
frog3c_name,-S,,Long-Winded Dazzler,Ribbit
frog3c_var,less saturation,,A much dryer variant.,Ribbit
frog4_name,max umbrage and edacity ,xx,Furious Lurker,Ribbit
frog4_hint,"base stock, max umbrage and edacity",xx,"Taking base stock, maximise appetite along with attitude.",Ribbit
frog4_lore1,,xx,"A towering species, not from size but simply from sheer stomach capacity.",Ribbit
frog4_lore2,,xx,Constantly hangry with a cast-iron belly make for a natural cleaner of the less welcome flora.,Ribbit
frog4_likes,,,"Not having patience, being a grumpy lil frog, VENGEANCE",Ribbit
frog4_key,,xx,fl,Ribbit
frog4b_name,+R,,Obvious Lurker,Ribbit
frog4b_var,more ribbit,,A less stealthier variant.,Ribbit
frog4c_name,-N and +O,,Rancid Lurker,Ribbit
frog4c_var,more odour and nobility,,A less fancier and more smellier variant.,Ribbit
frog5_name,"min size + saturation (drying, small)",xx,Weeny Sponge,Ribbit
frog5_hint,"base stock, min. size and min. saturation",xx,"From a common base, reduce size and sliminess to an all time low.",Ribbit
frog5_lore1,,xx,"While small in stature (and extremely adorable), their capacity for water is astounding.",Ribbit
frog5_lore2,,xx,"Tied with their ability to get into small spaces, they are often used to help with flooding. ",Ribbit
frog5_likes,,,"Being a small boy, a tiny boy, not knowing anything",Ribbit
frog5_key,,xx,ws,Ribbit
frog5b_name,-U,,Hungry Sponge,Ribbit
frog5b_var,,,A more hungry variant.,Ribbit
frog5c_name,,,Sleeping Sponge,Ribbit
frog5c_var,dream alt.,,A more dreamier variant.,Ribbit
frog6_name,,xx,Dozy Dreamer,Ribbit
frog6_hint,naturally found in the dream world,xx,Naturally occurring in abundance across the dreaming world.,Ribbit
frog6_lore1,,xx,"A mirror of the waking world, and as abundant as their less dreamy counterparts.",Ribbit
frog6_lore2,,xx,Their slightly boosted base traits said to be a reflection of our own dreams and aspirations to improve.,Ribbit
frog6_likes,,,"Weighted blankets, lie-ins, getting 40 thousand winks.",Ribbit
frog6_key,,xx,dd,Ribbit
frog6b_name,+A,,Burly Dreamer,Ribbit
frog6b_var,,,A variant of increased size and dryness.,Ribbit
frog6c_name,-N -O,,Polished Dreamer,Ribbit
